Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,feasible,100.0,100.0,100.0,0.0,2.27,2.27,0.0007,0.000285,100.0,100.0,100.0,0.0,2.93,2.93,0.0008,0.000261,3.63,0.0015,0.00038,1.87,0.0044,0.002534
10x10,feasible,100.0,100.0,100.0,0.0,5.63,5.63,0.0023,0.000428,100.0,100.0,100.0,0.0,5.9,5.9,0.002,0.000334,8.27,0.0055,0.000663,5.2,0.0043,0.001024
15x15,feasible,100.0,100.0,100.0,0.0,9.3,9.3,0.0047,0.000506,100.0,100.0,100.0,0.0,9.13,9.13,0.003,0.000325,14.4,0.0103,0.000735,9.1,0.0049,0.000629
20x20,feasible,100.0,100.0,100.0,0.0,14.03,14.03,0.0065,0.000475,100.0,100.0,100.0,0.0,13.1,13.1,0.0036,0.000295,22.13,0.019,0.000861,12.53,0.0048,0.00043
25x25,feasible,100.0,100.0,100.0,0.0,17.87,17.87,0.0097,0.000555,100.0,100.0,100.0,0.0,16.83,16.83,0.0053,0.000316,30.8,0.029,0.000947,16.77,0.0045,0.000303
30x30,feasible,100.0,100.0,100.0,0.0,22.07,22.07,0.0152,0.000701,100.0,100.0,100.0,0.0,19.87,19.87,0.0076,0.000384,40.17,0.0482,0.001237,20.5,0.0054,0.000281
40x40,feasible,100.0,100.0,100.0,0.0,33.87,33.87,0.0161,0.000477,100.0,100.0,100.0,0.0,36.6,36.6,0.01,0.000271,69.3,0.0642,0.000963,31.7,0.0049,0.000165
50x50,feasible,100.0,100.0,100.0,0.0,47.0,47.0,0.0369,0.000798,86.7,86.7,86.7,13.3,79.88,202.57,0.0761,0.000403,101.87,0.1392,0.001413,43.37,0.0061,0.000155
50x60,feasible,100.0,100.0,100.0,0.0,49.53,49.53,0.0361,0.000735,86.7,86.7,86.7,13.3,63.42,188.3,0.0743,0.00036,116.1,0.1554,0.001393,41.6,0.0061,0.000152
60x60,feasible,100.0,100.0,100.0,0.0,62.0,62.0,0.0589,0.000971,46.7,46.7,46.7,53.3,73.0,567.4,0.2781,0.000488,155.23,0.2919,0.001926,56.4,0.0087,0.00016
