Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,feasible,100.0,100.0,100.0,0.0,2.27,2.27,0.0046,0.002047,100.0,100.0,100.0,0.0,2.93,2.93,0.0017,0.000586,3.63,0.0044,0.001183,1.87,0.0037,0.002068
10x10,feasible,100.0,100.0,100.0,0.0,5.63,5.63,0.0054,0.000978,100.0,100.0,100.0,0.0,5.9,5.9,0.0031,0.000465,8.27,0.0103,0.001173,5.2,0.0049,0.000924
15x15,feasible,100.0,100.0,100.0,0.0,9.3,9.3,0.0058,0.000595,100.0,100.0,100.0,0.0,9.13,9.13,0.0097,0.001127,14.4,0.0271,0.001866,9.1,0.0071,0.000828
20x20,feasible,100.0,100.0,100.0,0.0,14.03,14.03,0.0151,0.001085,100.0,100.0,100.0,0.0,13.1,13.1,0.0097,0.000781,22.13,0.0538,0.002462,12.53,0.0044,0.000401
25x25,feasible,100.0,100.0,100.0,0.0,17.87,17.87,0.0232,0.001308,100.0,100.0,100.0,0.0,16.83,16.83,0.0164,0.001034,30.8,0.1024,0.003345,16.77,0.0029,0.000184
30x30,feasible,100.0,100.0,100.0,0.0,22.07,22.07,0.03,0.001365,100.0,100.0,100.0,0.0,19.87,19.87,0.015,0.000768,40.17,0.1349,0.003378,20.5,0.0066,0.000341
40x40,feasible,100.0,100.0,100.0,0.0,33.87,33.87,0.0481,0.001313,100.0,100.0,100.0,0.0,36.6,36.6,0.0198,0.00056,69.3,0.224,0.003279,31.7,0.0068,0.000254
50x50,feasible,100.0,100.0,100.0,0.0,47.0,47.0,0.0782,0.001816,96.7,96.7,96.7,3.3,197.21,323.97,0.1942,0.000697,101.87,0.3791,0.003813,43.37,0.0071,0.000174
50x60,feasible,100.0,100.0,100.0,0.0,49.53,49.53,0.0659,0.001349,90.0,90.0,90.0,10.0,113.22,501.9,0.3616,0.000657,116.1,0.4359,0.003821,41.6,0.0071,0.000193
60x60,feasible,100.0,100.0,100.0,0.0,62.0,62.0,0.0884,0.001454,50.0,50.0,50.0,50.0,145.4,2072.7,1.6158,0.000984,155.23,0.7433,0.004874,56.4,0.0073,0.000132
