Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,feasible,100.0,100.0,100.0,0.0,2.22,2.22,0.003,0.0015,100.0,100.0,100.0,0.0,2.94,2.94,0.0028,0.000958,3.61,0.0033,0.000846,2.14,0.0028,0.001614
10x10,feasible,100.0,100.0,100.0,0.0,6.04,6.04,0.0046,0.000736,100.0,100.0,100.0,0.0,5.85,5.85,0.0032,0.000563,8.56,0.01,0.001233,5.01,0.0038,0.000961
15x15,feasible,100.0,100.0,100.0,0.0,9.92,9.92,0.0072,0.000738,100.0,100.0,100.0,0.0,9.08,9.08,0.0052,0.000579,13.81,0.0234,0.001784,8.74,0.0036,0.000487
20x20,feasible,100.0,100.0,100.0,0.0,14.47,14.47,0.0145,0.000981,100.0,100.0,100.0,0.0,13.56,13.56,0.0071,0.000532,23.22,0.0458,0.001976,13.61,0.0033,0.000255
25x25,feasible,100.0,100.0,100.0,0.0,20.22,20.22,0.0186,0.000937,100.0,100.0,100.0,0.0,18.4,18.4,0.0099,0.000551,33.4,0.0809,0.002426,17.9,0.0044,0.000269
30x30,feasible,100.0,100.0,100.0,0.0,24.92,24.92,0.0287,0.001182,100.0,100.0,100.0,0.0,23.31,23.31,0.0124,0.000531,41.9,0.1087,0.002612,23.14,0.0039,0.000178
40x40,feasible,100.0,100.0,100.0,0.0,36.41,36.41,0.0411,0.001138,100.0,100.0,100.0,0.0,45.14,45.14,0.0252,0.000553,73.54,0.237,0.003248,32.28,0.0039,0.000128
50x50,feasible,100.0,100.0,100.0,0.0,47.73,47.73,0.0602,0.001273,90.0,90.0,90.0,10.0,84.67,176.2,0.1136,0.000637,104.07,0.4036,0.003929,42.35,0.0051,0.000129
